,questions,answers
0,Participant ID,23
1,Age,
2,Gender,Male
3,video_5_condition_0_In hoeverre was je aandacht gericht op de film?,0.65625
4,video_5_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.6770833333333334
5,video_5_condition_0_Wie is 'het lekkerste wijf op het feest?',Marijke
6,video_5_condition_0_Aan wie wordt hoofdpersoon Bram op zijn verzoek voorgesteld?,Frits
7,video_5_condition_0_Waar komt Florian vandaan?,Amsterdam
8,video_5_condition_0_Bij welke term schrikt Bram terwijl zijn hand dichter naar die van Florian kruipt?,knal
9,video_5_condition_0_Wat is de reden dat Bram en Florian naar buiten gaan?,Een luchtje scheppen
10,video_5_condition_0_Waarom kan Bram niet mee naar het festival waar Florian ook heen gaat?,geen tickets meer
11,video_5_condition_0_Welk spel speelt de groep in deze film?,flesje draaien
12,video_5_condition_0_Waarom wilt Bram tegen het einde van de film nog flesje draaien?,om Florian te zoenen
13,video_5_condition_0_Komt het flesje van Bram uit bij Florian?,nee
14,video_5_condition_0_Wat is de kleur van het etiket op het flesje?,blauw
15,video_2_condition_1_In hoeverre was je aandacht gericht op de film?,0.23958333333333334
16,video_2_condition_1_In hoeverre was je aandacht gericht op de taak?,0.46041666666666664
17,video_2_condition_1_Wat bestelt de vrouw in het begin van de film?,soep
18,"video_2_condition_1_Aan wie doet de man, die aan een van de andere tafels zit, de vrouwelijke hoofdpersoon aan denken?",aan Fred
19,video_2_condition_1_In welke ijs heeft de vrouwelijke hoofdpersoon zin?,dame blanche
20,video_2_condition_1_Waroom zingt iedereen in het restaurant voor de vrouwelijke hoofdpersoon?,omdat ze jarig is
21,video_2_condition_1_Waarom is het niet gek dat de personen tegenover de vrouwelijke hoofdpersoon op elkaar lijken?,omdat ze broer en zus zijn
22,video_2_condition_1_Hoe komen de gasten in het restaurant over op de persoon die op het einde binnenkomt om Chinees af te halen?,als een familie
23,video_2_condition_1_Hoeveel sterretjes stonden er op de taart?,30
24,video_2_condition_1_Wat was er aan de hand met de vrouw van Fred?,dementie
25,video_2_condition_1_Hoe heet de zoon van de vrouwelijke hoofdpersoon?,Fred
26,"video_2_condition_1_Hoe dacht de vrouwelijke hoofdpersoon dat de groep jonge mensen elkaar zou kennen, en wat was dat daadwerkelijke?",vriendenclubje en later bleek het een schaatsclub te zijn
27,video_1_condition_0_In hoeverre was je aandacht gericht op de film?,0.7395833333333336
28,video_1_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.7333333333333333
29,video_1_condition_0_Wat is de naam van deze film?,el rouchabti
30,video_1_condition_0_Is de pizzabezorger blij met zijn fooi?,ja
31,video_1_condition_0_Hoe heet de pizzabezorger?,Ismail
32,video_1_condition_0_Op wat voor kleur scooter rijdt de pizzabezorger?,grijs
33,video_1_condition_0_Welke kleur kleren heeft de baby?,blauw wit
34,video_1_condition_0_Waar verstopt Rachid de baby voor zijn vrienden en collega's buiten het pizzarestaurant?,in zijn rode pizzabox op zijn scooter
35,video_1_condition_0_Waarom zet de pizzabezorger de muziek op zijn kamer ineens zo hard?,zodat zijn huisgenoten de baby niet horen
36,video_1_condition_0_Hoe heet het pizzarestaurant waar de bezorger voor werkt?,pizza cafeteria
37,video_1_condition_0_Waar geeft de pizzabezorger de baby af?,treinstation
38,video_1_condition_0_Welke dieren bekeken de pizzabezorger en baby?,honden en katten
39,video_4_condition_1_In hoeverre was je aandacht gericht op de film?,-0.11666666666666667
40,video_4_condition_1_In hoeverre was je aandacht gericht op de taak?,0.15833333333333333
41,video_4_condition_1_Wat is de naam van deze film?,Samual
42,video_4_condition_1_Hoe komt Samual aan geld?,zingen
43,video_4_condition_1_Wat staat er op het briefje dat Samual bij zich had?,een telefoonnummer
44,video_4_condition_1_Wat doet Samual met het muntgeld?,iemand bellen
45,video_4_condition_1_Waarom is Samual in Amsterdam?,om zijn dochter te zien
46,video_4_condition_1_Waar zijn volgens Samual de dromen van de toekomst?,over zee
47,video_4_condition_1_Aan wie wil Samual een briefje geven bij vertrek uit het politiebureau?,aan een meisje van een kinderdagverblijf
48,video_4_condition_1_Aan wie doet het meisje in het kinderdagverblijf samual denken?,aan zijn dochter
49,video_4_condition_1_Hoe maakt de geldwisselaar duidelijk dat hij geen geld kan wisselen?,schud nee en negeert hem
50,video_4_condition_1_Wat staat er op het raam van het kinderdagverblijf geschilderd?,kindertekeningen
51,video_0_condition_0_In hoeverre was je aandacht gericht op de film?,0.7645833333333333
52,video_0_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.91875
53,video_0_condition_0_Wat is de kleur van de dienstauto van de chauffeur?,blauw
54,video_0_condition_0_Wat vraagt de chauffeur aan de twee kinderen die vlak bij zijn auto staan op het schoolplein?,of ze Tom kunnen halen
55,video_0_condition_0_Hoe heet de jongen die met de chauffeur mee gaat?,Tom
56,video_0_condition_0_Wat belooft de chauffeur de jongen als hij mee gaat?,een modelautootje
57,video_0_condition_0_Wat doen de chauffeur en de jongen in de auto op het afgelegen terrein?,eten en kletsen
58,video_0_condition_0_Wat doen de chauffeur en de jongen nadat de jongen zelf een stukje heeft gereden?,McDonalds bestellen
59,video_0_condition_0_Wat bestelt de jongen bij het restaurant?,happy meal en twee milkshakes
60,video_0_condition_0_Wat is de relatie tussen de jongen en de chauffeur?,vader en zoon
61,video_0_condition_0_Waarom wordt de chauffeur boos en zegt hij ‘godverdomme’ tegen de jongen in de auto?,omdat Tom de milkshake omgooide in de auto
62,video_0_condition_0_Wat zegt de chauffeur tegen de moeder van de jongen?,Niks
63,video_3_condition_1_In hoeverre was je aandacht gericht op de film?,0.44375
64,video_3_condition_1_In hoeverre was je aandacht gericht op de taak?,0.5291666666666667
65,video_3_condition_1_Wat voor fruit ligt er in de kleedkamer?,bananen en appels
66,video_3_condition_1_Waar is de hoofdpersoon op vakantie geweest?,Drenthe
67,video_3_condition_1_Wat is volgens de hoofdrolspeler een wet van de natuur?,Dat meisjes leuker worden na de zomer
68,video_3_condition_1_Hoe heet de hoofdrolspeler?,Daan
69,video_3_condition_1_Waarom wordt de hoofdrolspeler boos en agressief?,Omdat de andere jongens dat meisje pesten
70,video_3_condition_1_Wat doet de hoofdrolspeler wanneer hij samen met het meisje in de kleedkamer is?,Haar zoenen
71,video_3_condition_1_Welke sport speelt het team in deze film?,korfbal
72,video_3_condition_1_Wat staat er op het briefje dat aan de muur hangt in de kleedkamer?,het rooster
73,video_3_condition_1_Welke kleur heeft de bal?,geel en blauw
74,video_3_condition_1_Welke kleur is het shirt dat de gezette jongen draagt?,oranje
